Country,Total Case,New Case,Total Death,New Death,Total Recovered,New Recovered,Active Cases,Serious,Population
Liberia,"8,043",,294                                ,,"7,741",,8,2,"5,305,117 "
Sierra Leone,"7,760",,126                                ,,,,,,"8,306,436 "
Chad,"7,651",,194                                ,,"4,874",,"2,583",,"17,413,580 "
British Virgin Islands,"7,305",,64                                ,,,,,,"30,596 "
Cook Islands,"6,860",,1                                ,,"6,782",,77,,"17,571 "
Saint Kitts and Nevis,"6,573",,46                                ,,"6,521",,6,,"53,871 "
Turks and Caicos,"6,479",,36                                ,,"6,423",,20,4,"39,741 "
Sao Tome and Principe,"6,279",,77                                ,,"6,202",,0,,"227,679 "
Palau,"5,976",,9                                ,,"5,965",,2,1,"18,233 "
St. Barth,"5,418",,6                                ,,,,,,"9,945 "
Nauru,"4,621",,1                                ,,"4,609",,11,,"10,903 "
Anguilla,"3,904",,12                                ,,"3,879",,13,4,"15,230 "
Kiribati,"3,430",,13                                ,,"2,703",,714,3,"123,419 "
Wallis and Futuna,"3,427",,7                                ,,438,,"2,982",,"10,982 "
Macao,"3,360",,91                                ,,"3,047",,222,,"667,490 "
Saint Pierre Miquelon,"3,349",,2                                ,,"2,449",,898,1,"5,759 "
Tuvalu,"2,805",, ,,,,"2,805",,"12,066 "
Falkland Islands,"1,930",, ,,"1,930",,0,,"3,539 "
Saint Helena,"1,806",, ,,2,,"1,804",,"6,115 "
Montserrat,"1,403",,8                                ,,"1,376",,19,,"4,965 "
Diamond Princess,712,,13                                ,,699,,0,, 
Niue,644,, ,,495,,149,,"1,622 "
Vatican City,29,, ,,29,,0,,799 
Western Sahara,10,,1                                ,,9,,0,,"626,161 "
MS Zaandam,9,,2                                ,,7,,0,, 
Tokelau,5,, ,,,,5,,"1,378 "
China,"503,302",,"5,272                                ",,"379,053",,"118,977","7,557","1,448,471,400                                "
